block,word,wd_int_syl,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
block20,talante,CV,CVC,word,mismatch,pes,tal,filler01,None
block20,tornillo,CVC,CVC,word,match,pes,tor,filler02,None
block20,ruptura,CVC,CVC,word,match,pes,rup,filler03,None
block20,durmiente,CVC,CVC,word,match,pes,dur,filler04,None
block20,burbuja,CVC,CVC,word,match,pes,bur,filler05,None
block20,viruela,CV,CVC,word,mismatch,pes,vir,filler06,None
block20,lavabo,CV,CVC,word,mismatch,pes,lav,filler07,None
block20,butaca,CV,CVC,word,mismatch,pes,but,filler08,None
block20,ribera,CV,CVC,word,mismatch,pes,rib,filler09,None
block21,pesipa,CV,CV,nonword,match,pes,pes,critical,1
block21,docado,CV,CV,nonword,match,pes,doc,filler01,None
block21,normaso,CVC,CV,nonword,mismatch,pes,nor,filler02,None
block21,borpanza,CVC,CV,nonword,mismatch,pes,bor,filler03,None
block21,daviba,CV,CV,nonword,match,pes,dav,filler04,None
block21,cabsero,CVC,CV,nonword,mismatch,pes,cab,filler05,None
block21,tutmuja,CVC,CV,nonword,mismatch,pes,tut,filler06,None
block21,talaja,CV,CV,nonword,match,pes,tal,filler07,None
block21,gorente,CV,CV,nonword,match,pes,gor,filler08,None
block21,lultame,CVC,CV,nonword,mismatch,pes,lul,filler09,None
block22,pesdeña,CVC,CV,nonword,mismatch,pes,pes,critical,1
block22,docado,CV,CV,nonword,match,pes,doc,filler01,None
block22,normaso,CVC,CV,nonword,mismatch,pes,nor,filler02,None
block22,bicera,CV,CV,nonword,match,pes,bic,filler03,None
block22,daviba,CV,CV,nonword,match,pes,dav,filler04,None
block22,cabsero,CVC,CV,nonword,mismatch,pes,cab,filler05,None
block22,tutmuja,CVC,CV,nonword,mismatch,pes,tut,filler06,None
block22,talaja,CV,CV,nonword,match,pes,tal,filler07,None
block22,gorente,CV,CV,nonword,match,pes,gor,filler08,None
block22,lultame,CVC,CV,nonword,mismatch,pes,lul,filler09,None
block23,pesipa,CV,CVC,nonword,mismatch,pes,pes,critical,1
block23,tomida,CV,CVC,nonword,mismatch,pes,tom,filler01,None
block23,farime,CV,CVC,nonword,mismatch,pes,far,filler02,None
block23,civillo,CV,CVC,nonword,mismatch,pes,civ,filler03,None
block23,cunceza,CVC,CVC,nonword,match,pes,cun,filler04,None
block23,runrullo,CVC,CVC,nonword,match,pes,run,filler05,None
block23,mingrago,CVC,CVC,nonword,match,pes,min,filler06,None
block23,rizgura,CVC,CVC,nonword,match,pes,riz,filler07,None
block23,duliste,CV,CVC,nonword,mismatch,pes,dul,filler08,None
block23,cubteha,CVC,CVC,nonword,match,pes,cub,filler09,None
block24,pesdeña,CVC,CVC,nonword,match,pes,pes,critical,1
block24,tomida,CV,CVC,nonword,mismatch,pes,tom,filler01,None
block24,farime,CV,CVC,nonword,mismatch,pes,far,filler02,None
block24,civillo,CV,CVC,nonword,mismatch,pes,civ,filler03,None
block24,cunceza,CVC,CVC,nonword,match,pes,cun,filler04,None
block24,tecido,CV,CVC,nonword,mismatch,pes,tec,filler05,None
block24,mingrago,CVC,CVC,nonword,match,pes,min,filler06,None
block24,rizgura,CVC,CVC,nonword,match,pes,riz,filler07,None
block24,duliste,CV,CVC,nonword,mismatch,pes,dul,filler08,None
block24,cubteha,CVC,CVC,nonword,match,pes,cub,filler09,None
block25,rosario,CV,CV,word,match,ros,ros,critical,1
block25,pantalla,CVC,CV,word,mismatch,ros,pan,filler01,None
block25,lenguaje,CVC,CV,word,mismatch,ros,len,filler02,None
block25,cambiazo,CVC,CV,word,mismatch,ros,cam,filler03,None
block25,campiña,CVC,CV,word,mismatch,ros,cam,filler04,None
block25,putada,CV,CV,word,match,ros,put,filler05,None
block25,pileta,CV,CV,word,match,ros,pil,filler06,None
block25,legajo,CV,CV,word,match,ros,leg,filler07,None
block25,veleta,CV,CV,word,match,ros,vel,filler08,None
block25,balbina,CVC,CV,word,mismatch,ros,bal,filler09,None
block26,rosquilla,CVC,CV,word,mismatch,ros,ros,critical,1
block26,pantalla,CVC,CV,word,mismatch,ros,pan,filler01,None
block26,lenguaje,CVC,CV,word,mismatch,ros,len,filler02,None
block26,cambiazo,CVC,CV,word,mismatch,ros,cam,filler03,None
block26,campiña,CVC,CV,word,mismatch,ros,cam,filler04,None
block26,putada,CV,CV,word,match,ros,put,filler05,None
block26,pileta,CV,CV,word,match,ros,pil,filler06,None
block26,legajo,CV,CV,word,match,ros,leg,filler07,None
block26,veleta,CV,CV,word,match,ros,vel,filler08,None
block26,pitillo,CV,CV,word,match,ros,pit,filler09,None
block27,rosario,CV,CVC,word,mismatch,ros,ros,critical,1
block27,bengala,CVC,CVC,word,match,ros,ben,filler01,None
block27,lanzazo,CVC,CVC,word,match,ros,lan,filler02,None
block27,ventisca,CVC,CVC,word,match,ros,ven,filler03,None
block27,vigencia,CV,CVC,word,mismatch,ros,vig,filler04,None
block27,pulsera,CVC,CVC,word,match,ros,pul,filler05,None
block27,bacteria,CVC,CVC,word,match,ros,bac,filler06,None
block27,bufido,CV,CVC,word,mismatch,ros,buf,filler07,None
block27,cigoto,CV,CVC,word,mismatch,ros,cig,filler08,None
block27,vinilo,CV,CVC,word,mismatch,ros,vin,filler09,None
block28,rosquilla,CVC,CVC,word,match,ros,ros,critical,1
block28,bengala,CVC,CVC,word,match,ros,ben,filler01,None
block28,lanzazo,CVC,CVC,word,match,ros,lan,filler02,None
block28,pimiento,CV,CVC,word,mismatch,ros,pim,filler03,None
block28,vigencia,CV,CVC,word,mismatch,ros,vig,filler04,None
block28,pulsera,CVC,CVC,word,match,ros,pul,filler05,None
block28,bacteria,CVC,CVC,word,match,ros,bac,filler06,None
block28,bufido,CV,CVC,word,mismatch,ros,buf,filler07,None
block28,cigoto,CV,CVC,word,mismatch,ros,cig,filler08,None
block28,vinilo,CV,CVC,word,mismatch,ros,vin,filler09,None
