"Word","Match","Nonword","Nonword_Concat","Rand"
"mo-ne-da","so-re-do","soredo","soredo","0.03149351172948189"
"mo-ne-da","so-de-do","sodedo","sodedo","0.04365760549990727"
"mo-ne-da","so-le-do","soledo","soledo","0.15627901406533207"
"mo-ne-da","so-se-do","sosedo","sosedo","0.6332585754078991"
"mo-ne-da","so-me-do","somedo","somedo","0.982940106226699"
"mo-ne-da","so-be-do","sobedo","sobedo","0.8081056906927357"
"mo-ne-da","so-te-do","sotedo","sotedo","0.5535919126257327"
"mo-ne-da","so-pe-do","sopedo","sopedo","0.6864472470009132"
"de-li-to","re-ra-to","rerato","rerato","0.5682911404063474"
"de-li-to","se-ca-to","secato","secato","0.44569791441491946"
"de-li-to","se-ci-ro","seciro","seciro","0.06374171731198786"
"de-li-to","se-ci-no","secino","secino","0.5531160848326855"
"de-li-to","se-ri-ro","seriro","seriro","0.4818198650861184"
"de-li-to","se-ri-no","serino","serino","0.8920452231727996"
"de-li-to","se-ra-to","serato","serato","0.36015709769292437"
"de-li-to","se-li-ra","selira","selira","0.09229171870352448"
"de-li-to","se-li-ca","selica","selica","0.8252652406586802"
"de-li-to","se-li-na","selina","selina","0.8631621059087314"
"ga-na-do","fa-si-do","fasido","fasido","0.6176486446125314"
"ga-na-do","fa-mi-do","famido","famido","0.41548322529914705"
"ga-na-do","fa-ci-do","facido","facido","0.02258557649651205"
"ga-na-do","va-si-do","vasido","vasido","0.5164597888551123"
"ga-na-do","va-ci-do","vacido","vacido","0.9581841312327161"
"ga-na-do","va-mi-do","vamido","vamido","0.8162516789540067"
"ga-na-do","la-ci-do","lacido","lacido","0.6869677927852813"
"ga-na-do","la-si-do","lasido","lasido","0.34112393510322325"
"ga-na-do","na-ri-do","narido","narido","0.4700394192631048"
"ga-na-do","na-di-do","nadido","nadido","0.7168353691331335"
"sa-lu-do","ta-cu-da","tacuda","tacuda","0.5266159607305606"
"sa-lu-do","ta-ru-da","taruda","taruda","0.8789453167712256"
"sa-lu-do","ta-su-da","tasuda","tasuda","0.3340253271314395"
"sa-lu-do","ta-mu-da","tamuda","tamuda","0.0096056320930894"
"sa-lu-do","ta-tu-da","tatuda","tatuda","0.49340908476491974"
"sa-lu-do","ta-nu-da","tanuda","tanuda","0.018565871249088706"
"sa-lu-do","ba-cu-da","bacuda","bacuda","0.3863387030226082"
"sa-lu-do","ba-ru-da","baruda","baruda","0.04490508637582813"
"sa-lu-do","ba-su-da","basuda","basuda","0.8300412408819973"
"sa-lu-do","ba-mu-da","bamuda","bamuda","0.23344408165919095"
"pa-lo-ma","ma-ro-za","maroza","maroza","0.3265888805509807"
"pa-lo-ma","ma-ro-ga","maroga","maroga","0.9978887240084747"
"pa-lo-ma","ma-ro-ña","maroña","maroña","0.011053933559583062"
"pa-lo-ma","ma-ro-ja","maroja","maroja","0.017516376677559564"
"pa-lo-ma","ma-ro-va","marova","marova","0.8270775275593892"
"pa-lo-ma","ma-ro-ba","maroba","maroba","0.24019095577406968"
"pa-lo-ma","sa-co-pa","sacopa","sacopa","0.7112857474295654"
"pa-lo-ma","sa-co-za","sacoza","sacoza","0.3616276126425212"
"pa-lo-ma","sa-co-fa","sacofa","sacofa","0.05601326085257552"
"pa-lo-ma","sa-co-ga","sacoga","sacoga","0.7904480431556292"
"gu-sa-no","fu-mi-no","fumino","fumino","0.47099824874557183"
"gu-sa-no","fu-ni-no","funino","funino","0.6013335039056981"
"gu-sa-no","vu-ni-no","vunino","vunino","0.26788200587921296"
"gu-sa-no","vu-mi-no","vumino","vumino","0.2996555737329575"
"gu-sa-no","lu-ni-no","lunino","lunino","0.5460140638377198"
"gu-sa-no","lu-mi-no","lumino","lumino","0.955305607432527"
"gu-sa-no","hu-ni-no","hunino","hunino","0.49731039634756313"
"gu-sa-no","hu-mi-no","humino","humino","0.665554351549165"
"gu-sa-no","nu-ci-no","nucino","nucino","0.5587250238418422"
"gu-sa-no","nu-ri-no","nurino","nurino","0.3313257666188252"
"ca-se-ta","ca-ce-ro","cacero","cacero","0.12535417012286088"
"ca-se-ta","ca-ce-so","caceso","caceso","0.7114452136816217"
"ca-se-ta","ca-ce-no","caceno","caceno","0.8495034180314915"
"ca-se-ta","ca-ca-ca","cacaca","cacaca","0.9007981951881554"
"ca-se-ta","ca-ca-ra","cacara","cacara","0.5815964771464803"
"ca-se-ta","ca-ca-sa","cacasa","cacasa","0.8647533114737807"
"ca-se-ta","ca-ca-to","cacato","cacato","0.10098758009628084"
"ca-se-ta","ca-ca-na","cacana","cacana","0.5646667949449985"
"ca-se-ta","ca-ci-ra","cacira","cacira","0.4232260346605262"
"ca-se-ta","ca-ci-ca","cacica","cacica","0.1846814569717159"
"di-se-ño","si-ne-po","sinepo","sinepo","0.22304701266081572"
"di-se-ño","si-ne-bo","sinebo","sinebo","0.2900832390336938"
"di-se-ño","si-ne-vo","sinevo","sinevo","0.15244215067261613"
"di-se-ño","si-me-po","simepo","simepo","0.7620782880452794"
"di-se-ño","si-me-bo","simebo","simebo","0.2152529303793903"
"di-se-ño","si-me-vo","simevo","simevo","0.27279770394834446"
"di-se-ño","si-ce-po","sicepo","sicepo","0.31089721250718605"
"di-se-ño","si-ce-zo","sicezo","sicezo","0.018040635146445716"
"di-se-ño","si-ce-fo","sicefo","sicefo","0.7035740486112537"
"di-se-ño","si-ce-go","sicego","sicego","0.6282555582471433"
"ha-ri-na","na-ca-na","nacana","nacana","0.6845855576058194"
"ha-ri-na","na-la-na","nalana","nalana","0.03823604612080245"
"ha-ri-na","na-sa-na","nasana","nasana","0.6108947197758675"
"ha-ri-na","na-ma-na","namana","namana","0.7632866450414307"
"ha-ri-na","na-na-na","nanana","nanana","0.4080028973954475"
"ha-ri-na","fa-ca-na","facana","facana","0.8015111864318987"
"ha-ri-na","fa-la-na","falana","falana","0.425888784306524"
"ha-ri-na","fa-sa-na","fasana","fasana","0.3058896426039789"
"ha-ri-na","fa-ma-na","famana","famana","0.13576970918273323"
"ha-ri-na","fa-na-na","fanana","fanana","0.8040125702044867"
"ma-le-na","sa-ce-ra","sacera","sacera","0.5517312957271726"
"ma-le-na","sa-ce-ca","saceca","saceca","0.5405197762626569"
"ma-le-na","sa-ce-ta","saceta","saceta","0.8889370090067513"
"ma-le-na","sa-re-ra","sarera","sarera","0.17826031275355292"
"ma-le-na","sa-re-ca","sareca","sareca","0.251400621000049"
"ma-le-na","sa-re-ta","sareta","sareta","0.2690656311996188"
"ma-le-na","sa-le-to","saleto","saleto","0.6775144823788303"
"ma-le-na","sa-se-ra","sasera","sasera","0.3122263784610956"
"ma-le-na","sa-se-ca","saseca","saseca","0.7083670276971815"
"ma-le-na","sa-se-ta","saseta","saseta","0.006902433807886688"
"pa-si-vo","pa-na-ño","panaño","panaño","0.8549659769742778"
"pa-si-vo","pa-na-bo","panabo","panabo","0.4310464025537747"
"pa-si-vo","pa-ma-ño","pamaño","pamaño","0.20934907245842826"
"pa-si-vo","pa-ma-bo","pamabo","pamabo","0.3225895903207069"
"pa-si-vo","pa-na-po","panapo","panapo","0.35940442255652216"
"pa-si-vo","pa-ma-po","pamapo","pamapo","0.06514021845602214"
"pa-si-vo","ma-sa-po","masapo","masapo","0.6896710581064851"
"pa-si-vo","ma-sa-ño","masaño","masaño","0.2511351621664083"
"pa-si-vo","ma-sa-bo","masabo","masabo","0.6298635459288359"
"pa-si-vo","ma-na-vo","manavo","manavo","0.30987305057094916"
"ro-sa-do","so-mi-do","somido","somido","0.7678646583423288"
"ro-sa-do","do-ni-do","donido","donido","0.6062883533027984"
"ro-sa-do","do-mi-do","domido","domido","0.5391504892519006"
"ro-sa-do","so-ci-do","socido","socido","0.12399156935540845"
"ro-sa-do","so-ri-do","sorido","sorido","0.2037035095923343"
"ro-sa-do","so-di-do","sodido","sodido","0.7655891683042265"
"ro-sa-do","so-bi-do","sobido","sobido","0.25368211395706475"
"ro-sa-do","so-pi-do","sopido","sopido","0.8729121329129723"
"ro-sa-do","do-ci-do","docido","docido","0.20450949042135103"
"ro-sa-do","do-ri-do","dorido","dorido","0.4735286533489059"
"sa-li-va","ra-la-pa","ralapa","ralapa","0.30279185940529696"
"sa-li-va","ra-la-ña","ralaña","ralaña","0.530128438227747"
"sa-li-va","ra-la-ba","ralaba","ralaba","0.9341003830751818"
"sa-li-va","sa-ra-pa","sarapa","sarapa","0.03522332236902359"
"sa-li-va","sa-ra-za","saraza","saraza","0.12065502246826088"
"sa-li-va","sa-ra-fa","sarafa","sarafa","0.7595214951543112"
"sa-li-va","sa-ra-ga","saraga","saraga","0.8607095653636523"
"sa-li-va","sa-ra-ña","saraña","saraña","0.12489859314277607"
"sa-li-va","sa-ra-ja","saraja","saraja","0.36370958735014947"
"sa-li-va","sa-ra-ba","saraba","saraba","0.949672112780745"
"so-ne-to","to-ce-ro","tocero","tocero","0.7710520125520518"
"so-ne-to","to-ce-no","toceno","toceno","0.17458686574722926"
"so-ne-to","to-ve-ro","tovero","tovero","0.5640638773155634"
"so-ne-to","to-ve-no","toveno","toveno","0.8252991250371914"
"so-ne-to","to-re-no","toreno","toreno","0.8937075417947942"
"so-ne-to","to-de-ro","todero","todero","0.92410191953617"
"so-ne-to","to-de-no","todeno","todeno","0.2820917727466232"
"so-ne-to","to-le-ro","tolero","tolero","0.20095591757185705"
"so-ne-to","to-le-no","toleno","toleno","0.11032583770288795"
"so-ne-to","to-se-ro","tosero","tosero","0.5228462883266863"
"re-ca-do","de-ri-do","derido","derido","0.3965484289919726"
"re-ca-do","de-si-do","desido","desido","0.9513361437159342"
"re-ca-do","de-mi-do","demido","demido","0.7770650148911986"
"re-ca-do","de-ti-do","detido","detido","0.17840800355890696"
"re-ca-do","de-ni-do","denido","denido","0.5308383878918892"
"re-ca-do","de-ci-da","decida","decida","0.9773762637839293"
"re-ca-do","de-vi-do","devido","devido","0.0053783680628886055"
"re-ca-do","de-va-da","devada","devada","0.3901259617033318"
"re-ca-do","de-ra-da","derada","derada","0.9830984139029448"
"re-ca-do","de-da-da","dedada","dedada","0.8898456635323378"
"vi-sa-do","li-ni-do","linido","linido","0.09822869989880445"
"vi-sa-do","li-mi-do","limido","limido","0.33684917111218604"
"vi-sa-do","fi-ni-do","finido","finido","0.41227004027364766"
"vi-sa-do","fi-mi-do","fimido","fimido","0.7032007076910624"
"vi-sa-do","ti-ci-do","ticido","ticido","0.8775892990251285"
"vi-sa-do","ti-ri-do","tirido","tirido","0.247804099359469"
"vi-sa-do","ti-di-do","tidido","tidido","0.4208897503924294"
"vi-sa-do","ti-mi-do","timido","timido","0.8218080113597852"
"vi-sa-do","ti-bi-do","tibido","tibido","0.32477066071873506"
"vi-sa-do","ti-ni-do","tinido","tinido","0.5774674655514754"
"bal-con","bas-don","basdon","basdon","0.9982142469824281"
"bal-con","ral-gon","ralgon","ralgon","0.9632232580491781"
"bal-con","ral-don","raldon","raldon","0.36573084151741475"
"bal-con","bas-gon","basgon","basgon","0.2510190408498181"
"bal-con","lal-gon","lalgon","lalgon","0.14278422824409054"
"bal-con","lal-don","laldon","laldon","0.026714022862069142"
"bal-con","lul-con","lulcon","lulcon","0.8591812952999573"
"bal-con","lal-bon","lalbon","lalbon","0.8472319220787118"
"bal-con","lal-son","lalson","lalson","0.6766309047533766"
