,word,word_freq,word_initial_syl,In_SegExperiment,meaning,Notes,Delete
434,sodoma,0.8653846153846153,CV,0.0,Sodom,,Keep
435,sofico,0.53,CV,0.0,suffocation,sofico lex freq. is from LEXESP in NIM,Keep
436,solera,2.487,CV,8.0,prop,solera lex freq. is from LEXESP in NIM,Keep
437,sollozo,0.048076923076923066,CVC,0.0,sob,,Keep
438,solsticio,1.3221153846153846,CVC,0.0,solstice,,Keep
439,soltura,0.21634615384615385,CVC,8.0,ease; nimbleness,,Keep
440,solvencia,0.09615384615384616,CVC,8.0,reliability; trustworthiness,,Keep
441,somalia,0.625,CV,0.0,Somalia,,Keep
442,sombrero,32.86057692307692,CVC,0.0,hat,,Keep
443,sombrilla,1.1057692307692308,CVC,0.0,Sun umbrella,,Keep
444,sonata,1.3942307692307692,CV,0.0,sonata,,Keep
445,soneto,0.6971153846153846,CV,0.0,sonnet,,Keep
446,sonido,50.216346153846146,CV,8.0,sound,,Keep
447,sonrisa,27.90865384615385,CVC,8.0,smile,,Keep
448,sopapo,0.048076923076923066,CV,8.0,slap; smack,,Keep
449,soplete,1.5384615384615383,CVC,0.0,blowtorch,,Keep
450,soplido,0.16826923076923075,CVC,0.0,puff (of air),,Keep
451,soponcio,0.89,CV,0.0,fit or fright,soponcio lex freq. is from LEXESP in NIM,Keep
452,soprano,12.067307692307693,CVC,0.0,soprano,,Keep
453,sordera,0.4326923076923077,CVC,8.0,deafness,,Keep
454,sordina,0.71,CVC,2.0,mute (musical) or damper,sordina lex freq. is from LEXESP in NIM,Keep
455,sortija,1.7307692307692306,CVC,8.0,ring,,Keep
456,sotana,0.5048076923076923,CV,8.0,cassock,,Keep
457,submundo,0.4567307692307692,CVC,8.0,underworld,,Keep
458,subsuelo,1.1778846153846154,CVC,4.0,subsoil,,Keep
459,suburbio,0.8413461538461539,CV,0.0,suburb,,Keep
460,suceso,2.5,CV,8.0,event,,Keep
461,sudaca,0.12019230769230768,CV,0.0,South American,,Keep
462,sudario,0.5288461538461539,CV,0.0,shroud,,Keep
463,sudeste,2.692307692307692,CV,0.0,southeast,,Keep
464,sufragio,0.24038461538461536,CVC,8.0,suffrage,,Keep
465,sulfuro,0.8413461538461539,CVC,0.0,sulfide,,Keep
466,sureste,1.7307692307692306,CV,8.0,southeast,,Keep
467,suspenso,4.663461538461538,CVC,8.0,suspense,,Keep
468,sustrato,0.16826923076923075,CVC,0.0,substratum,,Keep
469,sutura,1.4182692307692306,CV,0.0,suture,,Keep
470,taberna,4.831730769230768,CV,0.0,tavern; bar,,Keep
471,taladro,3.0288461538461537,CV,0.0,drill,,Keep
472,talante,0.048076923076923066,CV,4.0,mood,,Keep
473,talega,1.07,CV,0.0,sack,talega lex freq. is from LEXESP in NIM,Keep
474,talego,0.3605769230769231,CV,0.0,pen (jail),,Keep
475,talento,38.79807692307692,CV,0.0,talent,,Keep
476,tanzania,0.40865384615384615,CVC,0.0,Tanzania,,Keep
477,tapete,2.8125,CV,8.0,rug,,Keep
478,taquilla,2.7644230769230766,CV,8.0,box office,,Keep
479,tardanza,2.644230769230769,CVC,4.0,lateness,,Keep
480,tarima,0.5288461538461539,CV,8.0,platform,,Keep
481,tarjeta,75.67307692307692,CVC,8.0,card,,Keep
482,tartana,1.244,CVC,8.0,jalopy,tartana lex freq. is from LEXESP in NIM,Keep
483,tarugo,1.78,CV,0.0,wooden block,tarugo lex freq. is from LEXESP in NIM,Keep
484,tatuaje,16.658653846153847,CV,0.0,tattoo,,Keep
485,taxista,4.831730769230768,CV,0.0,cab driver,,Keep
486,tejado,6.346153846153847,CV,8.0,roof,,Keep
487,tenaza,0.2644230769230769,CV,0.0,tongs; pliers,,Keep
488,tendencia,4.9519230769230775,CVC,8.0,tendency,,Keep
489,tenencia,1.0096153846153846,CV,0.0,legal possession,,Keep
490,teniente,54.80769230769231,CV,8.0,lieutenant,,Keep
491,terapia,30.360576923076927,CV,0.0,therapy,,Keep
492,ternera,3.7980769230769234,CVC,8.0,veal,,Keep
493,ternero,0.7211538461538461,CVC,0.0,calf,,Keep
494,ternura,3.2211538461538463,CVC,8.0,tenderness,,Keep
495,terraza,5.072115384615384,CVC,0.0,terrace,,Keep
496,terruño,0.71,CVC,0.0,homeland,terruño lex freq. is from LEXESP in NIM,Keep
497,tersura,1.776,CVC,8.0,smoothness,tersura lex freq. is from LEXESP in NIM,Keep
498,tesina,0.711,CV,4.0,dissertation,tesina lex freq. is from LEXESP in NIM,Keep
499,tesoro,31.322115384615387,CV,8.0,treasure,,Keep
500,testigo,47.04326923076921,CVC,8.0,witness,,Keep
501,tetera,2.2836538461538463,CV,0.0,kettle,,Keep
502,tetilla,0.5048076923076923,CV,8.0,nipple,,Keep
503,textura,1.6105769230769231,CVC,0.0,texture,,Keep
504,tibieza,3.198,CV,8.0,warmth,tibieza lex freq. is from LEXESP in NIM,Keep
505,tijera,2.6201923076923075,CV,4.0,scissors,,Keep
506,tinaja,0.09615384615384616,CV,8.0,large earthenware jar,,Keep
507,tinglado,0.16826923076923075,CVC,4.0,shed,,Keep
508,tiniebla,0.024038461538461536,CV,8.0,darkness,,Keep
509,tintero,0.16826923076923075,CVC,8.0,ink pot,,Keep
510,tipejo,0.3365384615384615,CV,0.0,moron; idiot,,Keep
511,tisana,1.0659999999999998,CV,8.0,herbal tea,tisana lex freq. is from LEXESP in NIM,Keep
512,tobera,0.888,CV,8.0,nozzle,tobera lex freq. is from LEXESP in NIM,Keep
513,tobillo,9.23076923076923,CV,8.0,ankle,,Keep
